extractor,plan,drop,method,n,retrieval_complete,avg_attempts,turn1_violate,turn1_dead_end,clarify,deferral,context_update,end2end_safe,end2end_intent,safe_but_no_intent
action_aware,adaptive_escalating,0.0,baseline_model_scored,8,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
action_aware,adaptive_escalating,0.0,fail_closed_if_retrieval_incomplete,8,1.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
action_aware,adaptive_escalating,0.0,recoverability_no_resample,8,1.0,3.0,0.0,0.125,0.5,0.0,0.5,0.875,0.5,0.375
action_aware,adaptive_escalating,0.0,recoverability_resample,8,1.0,2.75,0.0,0.0,0.375,0.0,0.375,1.0,0.375,0.625
action_aware,adaptive_escalating,0.0,retrieved_intent_aware,8,1.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
action_aware,adaptive_escalating,0.0,terminal_only_filter,8,1.0,2.0,0.0,0.875,0.0,0.0,0.0,0.125,0.0,0.125
action_aware,adaptive_escalating,0.3,baseline_model_scored,8,1.0,2.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
action_aware,adaptive_escalating,0.3,fail_closed_if_retrieval_incomplete,8,1.0,5.375,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
action_aware,adaptive_escalating,0.3,recoverability_no_resample,8,1.0,3.75,0.0,0.0,0.375,0.0,0.375,1.0,0.25,0.75
action_aware,adaptive_escalating,0.3,recoverability_resample,8,1.0,3.875,0.0,0.0,0.625,0.125,0.625,1.0,0.625,0.375
action_aware,adaptive_escalating,0.3,retrieved_intent_aware,8,0.875,5.125,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
action_aware,adaptive_escalating,0.3,terminal_only_filter,8,0.875,3.0,0.0,0.875,0.125,0.0,0.125,0.125,0.125,0.0
action_aware,fixed_raw_tfidf_top2,0.0,baseline_model_scored,8,0.0,1.125,0.875,0.0,0.125,0.0,0.125,0.125,0.125,0.0
action_aware,fixed_raw_tfidf_top2,0.0,fail_closed_if_retrieval_incomplete,8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
action_aware,fixed_raw_tfidf_top2,0.0,recoverability_no_resample,8,0.0,1.125,0.5,0.25,0.125,0.125,0.125,0.25,0.0,0.25
action_aware,fixed_raw_tfidf_top2,0.0,recoverability_resample,8,0.0,1.125,0.5,0.0,0.125,0.125,0.125,0.5,0.125,0.375
action_aware,fixed_raw_tfidf_top2,0.0,retrieved_intent_aware,8,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
action_aware,fixed_raw_tfidf_top2,0.0,terminal_only_filter,8,0.0,1.125,0.0,0.875,0.125,0.0,0.125,0.125,0.125,0.0
action_aware,fixed_raw_tfidf_top2,0.3,baseline_model_scored,8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
action_aware,fixed_raw_tfidf_top2,0.3,fail_closed_if_retrieval_incomplete,8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
action_aware,fixed_raw_tfidf_top2,0.3,recoverability_no_resample,8,0.0,1.375,0.375,0.25,0.375,0.0,0.375,0.375,0.25,0.125
action_aware,fixed_raw_tfidf_top2,0.3,recoverability_resample,8,0.0,1.125,0.75,0.0,0.125,0.0,0.125,0.25,0.125,0.125
action_aware,fixed_raw_tfidf_top2,0.3,retrieved_intent_aware,8,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
action_aware,fixed_raw_tfidf_top2,0.3,terminal_only_filter,8,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
